household_ID,pairing,average_consumption
ID0116,Own - None,89.76
ID0117,Own - None,127.12
ID0118,Own - None,134.36
ID0119,Own - None,46.6
ID0120,Own - None,32.4
ID0121,Own - None,148.2
ID0122,Own - None,0.3333333333333333
ID0123,Own - None,159.2
ID0124,Own - None,84.0
ID0125,Own - None,169.84
ID0126,Own - None,24.64
ID0127,Own - None,366.12
ID0128,Own - None,174.92
ID0129,Own - None,120.56
ID0130,Own - None,153.68
ID0131,Own - None,51.24
ID0132,Own - None,28.227272727272727
ID0133,Own - None,107.28
ID0134,Own - Renters,201.84
ID0135,Own - None,205.72
ID0136,Own - None,50.24
ID0137,Own - None,315.76
ID0138,Own - None,42.68
ID0139,Rent Free - Not Specified,154.84
ID0140,Rent Free - Not Specified,10.4
ID0141,Rent - Not Specified,93.88
ID0142,Own - Boarders,125.08
ID0143,Own - None,66.48
ID0144,Own - None,48.64
ID0145,Rent Free - Not Specified,93.92
ID0146,Own - None,159.84
ID0147,Own - None,10.96
ID0148,Rent - Not Specified,110.24
ID0149,Own - None,266.28
ID0150,Own - None,90.24
ID0151,Own - None,82.8
ID0152,Own - None,223.96
ID0153,Own - None,114.88
ID0154,Own - None,237.54545454545453
ID0155,Own - None,170.16
ID0156,Own - None,111.24
ID0157,Own - None,69.72
ID0158,Rent - Not Specified,58.4
ID0159,Own - None,139.24
ID0160,Own - None,43.92
ID0161,Own - None,23.8
ID0162,Own - None,60.6
ID0163,Own - None,122.96
ID0164,Own - None,42.4
ID0165,Own - None,126.04
ID0166,Own - None,152.84
ID0167,Own - None,0.0
ID0168,Own - None,89.16
ID0169,Own - None,102.76
ID0170,Rent - Not Specified,27.6
ID0171,Rent Free - Not Specified,157.56
ID0172,Own - None,148.6
ID0173,Own - None,56.68
ID0174,Own - None,155.76
ID0175,Own - None,63.96
ID0176,Own - None,59.08
ID0177,Own - None,358.12
ID0178,Own - None,93.32
ID0179,Own - None,142.6
ID0180,Own - None,128.52
ID0181,Own - None,146.32
ID0182,Own - None,447.92
ID0183,Own - Renters,28.12
ID0184,Own - None,51.56
ID0185,Own - None,326.44
ID0186,Own - None,118.28
ID0187,Own - None,148.0
ID0188,Own - None,104.12
ID0189,Own - None,325.6
ID0190,Own - None,14.28
ID0191,Own - None,85.04
ID0192,Own - None,122.64
ID0193,Own - None,101.72
ID0194,Own - Renters,83.85714285714286
ID0195,Own - None,105.84
ID0196,Own - None,106.6
ID0197,Own - None,138.48
ID0198,Own - None,437.56
ID0199,Rent - Not Specified,40.76
ID0200,Own - None,82.84
ID0201,Own - None,258.2
ID0202,Own - None,158.8
ID0203,Own - None,106.88
ID0204,Own - None,50.52
ID0205,Own - None,92.625
ID0206,Own - None,133.24
ID0207,Own - None,136.56
ID0208,Own - None,52.96
ID0209,Own - None,88.72
ID0210,Own - None,263.08
ID0211,Own - None,99.76
ID0212,Own - None,73.96
ID0213,Own - None,64.24
ID0214,Own - None,70.12
ID0215,Own - None,97.16
ID0216,Own - None,84.04
ID0217,Rent - Not Specified,130.48
ID0218,Own - None,36.16
ID0219,Own - None,126.76
ID0220,Own - None,96.52
ID0221,Own - None,106.2
ID0222,Rent - Not Specified,137.68
ID0223,Own - None,22.64
ID0224,Own - None,25.48
ID0225,Own - None,145.72
ID0226,Own - None,116.6
ID0227,Own - None,76.56
ID0228,Own - None,91.44444444444444
ID0229,Own - None,320.76
ID0230,Own - None,144.8
ID0231,Rent - Not Specified,132.28
ID0232,Own - None,104.6
ID0233,Own - None,176.44
ID0234,Own - None,160.72
ID0235,Own - None,57.44
ID0236,Own - None,86.6
ID0237,Own - None,165.44
ID0238,Own - None,67.28
ID0239,Rent - Not Specified,43.92
ID0240,Own - None,77.92
ID0241,Own - None,60.48
ID0242,Own - None,54.32
ID0243,Own - None,72.6
ID0244,Own - None,20.72
ID0245,Own - None,98.44
ID0246,Own - None,456.8
ID0247,Own - None,331.96
ID0248,Rent - Not Specified,82.4
ID0249,Own - None,234.4
ID0250,Own - None,192.04
ID0251,Rent - Not Specified,122.72
ID0252,Rent - Not Specified,53.68
ID0253,Own - None,50.68
ID0254,Own - None,114.08
ID0255,Own - None,372.92
ID0256,Own - None,168.56
ID0257,Rent - Not Specified,238.0
ID0258,Own - None,162.0
ID0259,Own - None,73.76
ID0260,Own - None,237.56
ID0261,Own - None,116.70833333333333
ID0262,Own - None,42.64
ID0263,Rent - Not Specified,152.48
ID0264,Own - None,359.84
ID0265,Own - None,99.76
ID0266,Own - None,83.28
ID0267,Own - None,97.12
ID0268,Own - None,58.24
ID0269,Own - None,215.44
ID0270,Own - Renters,146.24
ID0271,Rent - Not Specified,73.48
ID0272,Own - None,46.04
ID0273,Own - None,248.96
ID0274,Own - None,190.76
ID0275,Own - None,182.4
ID0276,Own - None,295.2
ID0277,Own - None,90.96
ID0278,Own - None,201.44
ID0279,Own - None,54.84
ID0280,Own - None,153.0
ID0281,Own - None,49.24
ID0282,Own - None,134.6
ID0283,Own - None,83.68
ID0284,Rent - Not Specified,42.48
ID0285,Own - None,194.0
ID0286,Own - None,102.12
ID0287,Own - None,166.44
ID0288,Own - None,35.04
ID0289,Own - None,101.8
ID0290,Rent Free - Not Specified,69.56521739130434
ID0291,Own - None,58.64
ID0292,Own - None,54.36
ID0293,Own - Renters,52.32
ID0294,Own - None,188.04
ID0295,Own - None,100.8
ID0296,Own - None,338.6
ID0297,Own - None,108.0
ID0298,Rent - Not Specified,27.45
ID0299,Own - None,70.16
ID0300,Rent - Not Specified,55.92
ID0301,Own - None,78.64
ID0302,Own - None,87.32
ID0303,Own - None,41.0
ID0304,Own - None,121.56
ID0305,Own - None,113.72
ID0306,Own - None,112.6
ID0307,Own - None,175.68
ID0308,Own - None,101.92
ID0309,Rent - Not Specified,64.64
ID0310,Own - None,72.48
ID0311,Own - None,103.52
ID0312,Own - None,65.12
ID0313,Own - None,105.72
ID0314,Own - None,172.84
ID0315,Own - None,81.8
ID0316,Own - None,109.64
ID0317,Own - None,82.76
ID0318,Rent - Not Specified,155.2
ID0319,Own - None,113.76
ID0320,Own - None,48.84
ID0321,Own - None,287.375
ID0322,Own - None,36.04
ID0323,Own - None,109.28
ID0324,Own - None,34.68
ID0325,Own - None,125.6
ID0326,Own - None,104.96
ID0327,Own - None,161.44
ID0328,Own - None,13.56
ID0329,Own - None,59.2
ID0330,Own - None,79.52
ID0331,Rent - Not Specified,240.08
ID0332,Own - None,134.6
ID0333,Own - None,46.92
ID0334,Own - None,140.28571428571428
ID0335,Own - None,119.2
ID0336,Own - None,89.56
ID0337,Own - None,135.64
ID0338,Own - None,107.92
ID0339,Own - None,86.12
ID0340,Own - None,111.4
ID0341,Own - None,85.76
ID0342,Own - None,40.2
ID0343,Own - None,148.0
ID0344,Own - None,32.08
ID0345,Own - None,251.16
ID0346,Own - None,89.68
ID0347,Own - None,20.36
ID0348,Own - None,250.56
ID0349,Own - Boarders,100.56
ID0350,Rent - Not Specified,55.68
ID0351,Own - None,7.88
ID0352,Own - None,100.8
ID0353,Own - None,85.88
ID0354,Own - None,31.84
ID0355,Own - None,97.64
ID0356,Own - Renters,217.64
ID0357,Own - None,175.48
ID0358,Own - None,144.24
ID0359,Own - None,310.16
ID0360,Own - None,28.2
ID0361,Own - None,111.88
ID0362,Own - None,47.28
ID0363,Own - None,35.84
ID0364,Own - None,96.32
ID0365,Rent Free - Not Specified,47.69565217391305
ID0366,Rent - Not Specified,142.28
ID0367,Rent - Not Specified,91.84
ID0368,Own - None,70.12
ID0369,Own - Renters,49.16
ID0370,Own - None,310.48
ID0371,Rent - Not Specified,542.48
ID0372,Own - None,123.56
ID0373,Own - None,89.44
ID0374,Own - None,96.04
ID0375,Own - None,132.08
ID0376,Own - None,55.72
ID0377,Own - None,197.32
ID0378,Own - None,103.52
ID0379,Own - None,117.48
ID0380,Rent (Paid by Employer) - Not Specified,50.64
ID0381,Rent - Not Specified,191.48
ID0382,Rent - Not Specified,57.64
ID0383,Own - None,148.28
ID0384,Own - None,76.08
ID0385,Own - None,81.0
ID0386,Own - None,102.6
ID0387,Own - None,70.28
ID0388,Own - None,166.12
ID0389,Own - None,131.36
ID0390,Own - Boarders,52.64
ID0391,Own - None,155.36
ID0392,Own - None,273.24
ID0393,Own - None,0.0
ID0394,Own - None,58.12
ID0395,Own - None,486.0
ID0396,Own - None,94.84
ID0397,Own - Renters,186.72
ID0398,Own - None,111.6
ID0399,Own - None,142.56
ID0400,Rent - Not Specified,18.12
ID0401,Own - None,89.16
ID0402,Own - None,87.68
ID0403,Own - None,122.52
ID0404,Rent - Not Specified,183.88
ID0405,Own - None,70.44
ID0406,Own - None,354.72
ID0407,Own - None,101.84
ID0408,Rent - Not Specified,63.48
ID0409,Own - None,91.44
ID0410,Own - None,8.36
ID0411,Own - None,80.44
ID0412,Own - None,2.68
ID0413,Own - None,40.48
ID0414,Own - None,118.6
ID0415,Own - None,131.64
ID0416,Own - None,714.5217391304348
ID0417,Own - None,604.4
ID0418,Own - None,162.76
ID0419,Own - None,86.0
ID0420,Rent - Not Specified,89.24
ID0421,Own - Boarders,119.32
ID0422,Rent - Not Specified,83.92
ID0423,Own - None,20.04
ID0424,Own - None,104.24
ID0425,Own - None,58.28
ID0426,Rent - Not Specified,49.0
ID0427,Own - None,130.88
ID0428,Own - None,90.48
ID0429,Own - None,136.52
ID0430,Own - None,32.6
ID0431,Own - None,68.8
ID0432,Own - None,75.44
ID0433,Own - None,85.24
ID0434,Own - None,21.04
ID0435,Own - None,74.04166666666667
ID0436,Own - None,45.64
ID0437,Own - None,50.76
ID0438,Own - None,67.4
ID0439,Own - None,85.72
ID0440,Own - None,145.24
ID0441,Own - None,59.64
ID0442,Own - None,42.92
ID0443,Own - None,97.4
ID0444,Own - None,150.4
ID0445,Own - None,66.36
ID0446,Own - None,250.4
ID0447,Own - None,58.76
ID0448,Rent - Not Specified,105.48
ID0449,Own - None,44.28
ID0450,Rent - Not Specified,87.96
ID0451,Own - None,39.84
ID0452,Own - None,108.68
ID0453,Own - None,173.4
ID0454,Own - None,119.16
ID0455,Own - None,83.0
ID0456,Own - None,69.92
ID0457,Own - None,179.25
ID0458,Own - None,117.56
ID0459,Own - None,90.36
ID0460,Own - None,0.84
ID0461,Own - Renters,97.0
ID0462,Own - None,34.88
ID0463,Own - None,42.32
ID0464,Own - None,149.48
ID0465,Rent - Not Specified,73.2
ID0466,Own - None,152.08
ID0467,Own - None,547.04
ID0468,Own - None,166.4
ID0469,Own - None,130.24
ID0470,Own - None,276.68
ID0471,Own - None,199.72
ID0472,Own - None,86.44
ID0473,Own - None,65.32
ID0474,Own - None,134.44
ID0475,Own - None,183.4
ID0476,Own - Boarders,60.12
ID0477,Rent - Not Specified,35.56
ID0478,Own - None,112.92
ID0479,Rent - Not Specified,52.04
ID0480,Own - None,83.56
ID0481,Rent - Not Specified,39.24
ID0482,Rent - Not Specified,28.76
ID0483,Own - Renters,82.4
ID0484,Own - None,25.64
ID0485,Own - None,23.68
ID0486,Own - None,116.2
ID0487,Own - None,227.4
ID0488,Rent - Not Specified,140.92
ID0489,Own - None,54.2
ID0490,Own - None,111.32
ID0491,Own - None,93.72
ID0492,Own - None,75.88
ID0493,Own - None,58.88
ID0494,Own - None,85.12
ID0495,Rent - Not Specified,101.6
ID0496,Own - None,26.96
ID0497,Own - None,80.44
ID0498,Own - None,111.72
ID0499,Own - None,246.32
ID0500,Own - None,81.72
ID0501,Own - None,213.2
ID0502,Own - None,96.84
ID0503,Own - None,75.56
ID0504,Own - None,81.2
ID0505,Own - None,116.6
ID0506,Own - None,79.72
ID0507,Own - None,61.68
ID0508,Own - None,217.2
ID0509,Own - None,199.12
ID0510,Own - None,91.96
ID0511,Own - None,157.36
ID0512,Own - None,154.88
ID0513,Own - None,34.6
ID0514,Own - None,109.84
ID0515,Own - None,84.84
ID0516,Own - None,144.56
ID0517,Own - None,295.68
ID0518,Own - None,64.96
ID0519,Own - None,11.52
ID0520,Own - None,86.84
ID0521,Rent - Not Specified,34.72
ID0522,Rent - Not Specified,224.64
ID0523,Own - Renters,70.56
ID0524,Rent - Not Specified,225.28
ID0525,Own - None,118.4
ID0526,Own - None,86.52
ID0527,Own - None,86.28
ID0528,Own - None,116.28
ID0529,Own - None,56.96
ID0530,Own - Renters,146.8
ID0531,Own - None,164.92
ID0532,Own - None,76.16
ID0533,Own - None,233.44
ID0534,Rent - Not Specified,66.64
ID0535,Own - None,71.24
ID0536,Rent - Not Specified,63.2
ID0537,Own - None,71.96
ID0538,Own - None,105.72
ID0539,Own - None,436.36
ID0540,Own - Boarders,98.0
ID0541,Own - None,159.52
ID0542,Own - None,98.0
ID0543,Own - None,323.28
ID0544,Own - None,209.4
ID0545,Own - None,432.72
ID0546,Own - None,230.04
ID0547,Own - None,201.04
ID0548,Rent - Not Specified,42.36
ID0549,Own - None,609.1739130434783
ID0550,Own - None,148.36
ID0551,Own - None,167.24
ID0552,Rent - Not Specified,39.36
ID0553,Rent - Not Specified,56.76
ID0554,Own - None,214.36
ID0555,Own - None,361.2
ID0556,Rent - Not Specified,73.48
ID0557,Own - None,107.04166666666667
ID0558,Own - None,293.8
ID0559,Own - None,94.28
ID0560,Own - None,86.2
ID0561,Own - None,75.08
ID0562,Own - None,28.72
ID0563,Own - None,78.44
ID0564,Own - None,143.92
ID0565,Own - None,176.6
ID0566,Own - None,214.44
ID0567,Own - None,78.52
ID0568,Own - None,185.04
ID0569,Own - None,132.48
ID0570,Own - None,99.32
ID0571,Own - None,316.76
ID0572,Own - None,99.52
ID0573,Own - None,70.88
ID0574,Rent - Not Specified,82.24
ID0575,Own - None,92.44
ID0576,Own - None,131.36
ID0577,Rent - Not Specified,90.8
ID0578,Rent - Not Specified,90.4
ID0579,Own - None,119.96
ID0580,Own - None,129.08
ID0581,Own - None,120.24
ID0582,Own - None,47.36363636363637
ID0583,Own - None,26.84
ID0584,Own - None,101.4
ID0585,Own - None,78.64
ID0586,Rent - Not Specified,157.6
ID0587,Own - None,111.08
ID0588,Own - None,101.52
ID0589,Rent - Not Specified,130.04
ID0590,Own - None,118.8
ID0591,Own - None,78.4
ID0592,Own - None,127.64
ID0593,Own - None,58.72
ID0594,Own - None,56.2
ID0595,Own - None,132.6
ID0596,Own - None,186.16
ID0597,Own - None,194.96
ID0598,Own - None,48.92
ID0599,Own - None,96.12
ID0600,Own - None,348.9583333333333
ID0601,Rent - Not Specified,185.4
ID0602,Own - None,258.72
ID0603,Own - None,35.9
ID0604,Own - None,93.36
ID0605,Own - None,139.92
ID0606,Own - None,51.52
ID0607,Own - None,63.4
ID0608,Own - None,87.68
ID0609,Own - None,230.16
ID0610,Rent Free - Not Specified,110.16
ID0611,Own - None,152.12
ID0612,Own - None,181.36
ID0613,Own - None,46.32
ID0614,Own - None,116.64
ID0615,Own - None,74.88
ID0616,Own - None,31.36
ID0617,Own - Renters,124.2
ID0618,Own - None,103.4
ID0619,Own - None,85.52
ID0620,Own - None,93.8
ID0621,Own - None,142.16
ID0622,Own - None,158.95652173913044
ID0623,Own - None,87.2
ID0624,Own - None,108.44
ID0625,Own - None,87.28
ID0626,Rent - Not Specified,40.6
ID0627,Own - None,89.76
ID0628,Own - None,84.36
ID0629,Own - None,99.72
ID0630,Own - None,327.92
ID0631,Own - None,272.08
ID0632,Own - None,31.64
ID0633,Own - None,110.6
ID0634,Own - None,132.28571428571428
ID0635,Rent - Not Specified,47.48
ID0636,Own - None,102.24
ID0637,Own - None,95.2
ID0638,Own - None,64.44
ID0639,Own - None,50.6
ID0640,Own - None,89.0
ID0641,Own - None,161.52
ID0642,Own - None,47.28
ID0643,Own - None,95.6
ID0644,Own - None,114.16
ID0645,Rent - Not Specified,78.6
ID0646,Own - None,0.44
ID0647,Own - None,37.48
ID0648,Own - None,129.96
ID0649,Rent - Not Specified,102.72
ID0650,Rent Free - Not Specified,33.08
ID0651,Own - None,63.041666666666664
ID0652,Own - None,133.88
ID0653,Own - None,137.28
ID0654,Rent - Not Specified,195.8
ID0655,Own - None,120.92
ID0656,Rent - Not Specified,99.64
ID0657,Own - None,157.6
ID0658,Own - None,81.8
ID0659,Own - None,110.64
ID0660,Own - None,81.12
ID0661,Own - None,430.0416666666667
ID0662,Own - None,119.48
ID0663,Rent - Not Specified,71.92
ID0664,Own - None,148.48
ID0665,Own - None,29.84
ID0666,Rent - Not Specified,185.20833333333334
ID0667,Own - None,120.76
ID0668,Rent - Not Specified,41.4
ID0669,Rent - Not Specified,426.36
ID0670,Own - None,59.08
ID0671,Own - None,254.72
ID0672,Own - None,54.12
ID0673,Rent - Not Specified,30.0
ID0674,Own - None,66.8
ID0675,Own - None,150.16
ID0676,Own - None,201.6
ID0677,Own - None,0.04
ID0678,Own - None,88.08
ID0679,Own - None,117.2
ID0680,Rent - Not Specified,198.6
ID0681,Own - None,74.24
ID0682,Rent - Not Specified,86.12
ID0683,Rent Free - Not Specified,69.0
ID0684,Own - None,185.32
ID0685,Own - None,39.92
ID0686,Own - None,379.32
ID0687,Own - None,56.04
ID0688,Own - None,18.68
ID0689,Own - None,74.56
ID0690,Own - None,76.84
ID0691,Own - None,151.0
ID0692,Own - None,138.68
ID0693,Rent - Not Specified,106.52
ID0694,Rent - Not Specified,324.6
ID0695,Own - None,87.63636363636364
ID0696,Own - None,159.36
ID0697,Own - None,13.24
ID0698,Own - None,54.4
ID0699,Own - None,85.08
ID0700,Own - None,235.92
ID0701,Own - None,182.3913043478261
ID0702,Own - None,29.32
ID0703,Own - None,91.32
ID0704,Own - None,180.08
ID0705,Rent - Not Specified,59.68
ID0706,Own - None,128.68
ID0707,Rent Free - Not Specified,57.96
ID0708,Own - None,67.12
ID0709,Own - None,145.72
ID0710,Own - None,145.0
ID0711,Own - None,86.08
ID0712,Own - None,0.0
ID0713,Own - None,213.44
ID0714,Rent - Not Specified,107.12
ID0715,Own - None,151.04
ID0716,Own - None,87.56
ID0717,Own - None,100.56
ID0718,Own - None,111.84
ID0719,Own - None,298.28
ID0720,Own - None,61.84
ID0721,Own - None,303.68
ID0722,Own - Boarders,51.56
ID0723,Own - None,100.56
ID0724,Own - None,39.44
ID0725,Own - None,108.36
ID0726,Own - None,93.76
ID0727,Rent - Not Specified,56.52
ID0728,Own - None,167.8
ID0729,Own - None,33.16
ID0730,Own - None,7.76
ID0731,Own - None,196.16
ID0732,Own - None,67.0
ID0733,Own - None,247.56
ID0734,Own - None,83.4
ID0735,Own - None,28.24
ID0736,Own - None,114.95833333333333
ID0737,Own - None,77.68
ID0738,Rent Free - Not Specified,160.32
ID0739,Own - None,143.64
ID0740,Own - None,11.92
ID0741,Own - None,588.0
ID0742,Own - None,62.92
ID0743,Rent - Not Specified,29.2
ID0744,Own - None,132.24
ID0745,Own - None,91.08
ID0746,Own - None,42.48
ID0747,Own - None,159.04
ID0748,Own - None,136.72
ID0749,Own - None,88.92
ID0750,Own - None,115.16
ID0751,Own - None,295.88
ID0752,Own - None,115.68
ID0753,Own - None,216.52
ID0754,Own - None,99.96
ID0755,Rent - Not Specified,96.48
ID0756,Own - None,120.72
ID0757,Own - None,79.72
ID0758,Own - None,80.84
ID0759,Own - None,65.16
ID0760,Own - None,20.4
ID0761,Rent - Not Specified,219.76
ID0762,Own - None,138.56
ID0763,Own - None,85.04
ID0764,Own - None,121.8
ID0765,Own - None,172.32
ID0766,Own - None,104.72
ID0767,Rent - Not Specified,61.84
ID0768,Own - None,112.72
ID0769,Own - None,288.08
ID0770,Own - None,92.2
ID0771,Own - None,141.88
ID0772,Own - None,371.68
ID0773,Rent - Not Specified,166.2
ID0774,Own - None,213.04
ID0775,Own - None,297.04
ID0776,Own - None,23.72
ID0777,Own - None,194.96
ID0778,Own - None,44.04
ID0779,Own - None,100.4
ID0780,Own - None,132.56
ID0781,Own - None,432.2
ID0782,Own - None,103.36
ID0783,Own - None,0.24
ID0784,Own - None,1.72
ID0785,Own - None,67.08
ID0786,Own - None,60.24
ID0787,Own - None,61.88
ID0788,Own - None,40.6
ID0789,Own - None,136.4
ID0790,Own - None,5.84
ID0791,Own - None,95.36
ID0792,Own - None,179.08
ID0793,Own - None,233.48
ID0794,Own - None,45.72
ID0795,Own - None,61.0
ID0796,Own - None,405.36
ID0797,Own - None,92.52
ID0798,Own - None,293.96
ID0799,Own - None,95.16
ID0800,Own - None,214.8
ID0801,Own - None,18.12
ID0802,Own - None,135.2
ID0803,Own - None,120.52
ID0804,Own - None,12.0
ID0805,Own - None,37.08
ID0806,Rent Free - Not Specified,255.92
ID0807,Own - None,79.76
ID0808,Own - None,119.88
ID0809,Rent - Not Specified,86.92
ID0810,Own - None,75.04
ID0811,Own - None,129.72
ID0812,Rent - Not Specified,47.96
ID0813,Own - None,154.92
ID0814,Own - None,143.64
ID0815,Own - None,102.64
ID0816,Own - None,75.96
ID0817,Own - None,86.12
ID0818,Own - None,26.64
ID0819,Own - None,136.24
ID0820,Own - None,96.52
ID0821,Own - None,60.92
ID0822,Own - None,225.96
ID0823,Own - None,119.12
ID0824,Own - None,58.52
ID0825,Own - None,90.04
ID0826,Own - None,113.76
ID0827,Own - None,81.96
ID0828,Own - None,162.92
ID0829,Rent - Not Specified,56.12
ID0830,Own - None,211.2
ID0831,Own - None,39.88
ID0832,Own - None,149.88
ID0833,Own - None,378.08
ID0834,Own - None,114.32
ID0835,Own - None,46.12
ID0836,Own - None,85.24
ID0837,Own - None,68.48
ID0838,Own - None,34.28
ID0839,Own - None,75.44
ID0840,Own - None,235.4
ID0841,Own - None,493.9166666666667
ID0842,Rent - Not Specified,36.0
ID0843,Own - None,306.28
ID0844,Own - None,249.96
ID0845,Own - None,108.4
ID0846,Own - None,136.84
ID0847,Rent - Not Specified,100.4
ID0848,Own - None,83.84
ID0849,Own - None,162.96
ID0850,Own - None,146.36
ID0851,Own - None,69.92
ID0852,Own - None,115.76
ID0853,Own - None,142.44
ID0854,Own - None,32.16
ID0855,Own - None,83.28
ID0856,Own - None,0.12
ID0857,Own - None,169.56
ID0858,Own - None,79.16
ID0859,Own - None,127.88
ID0860,Own - None,88.88
ID0861,Own - None,86.88
ID0862,Own - None,103.76
ID0863,Own - None,88.48
ID0864,Own - None,155.76
ID0865,Own - None,184.48
ID0866,Own - None,26.64
ID0867,Own - None,126.8
ID0868,Own - None,198.32
ID0869,Own - None,45.96
ID0870,Own - None,127.08333333333333
ID0871,Own - None,39.08
ID0872,Own - Renters,92.28
ID0873,Own - None,102.47826086956522
ID0874,Own - None,0.04
ID0875,Own - None,49.52
ID0876,Own - None,58.44
ID0877,Own - None,231.48
ID0878,Own - None,80.8
ID0879,Own - None,61.04
ID0880,Own - None,54.0
ID0881,Own - None,99.24
ID0882,Own - None,195.88
ID0883,Own - None,93.84
ID0884,Own - None,89.16
ID0885,Own - None,72.28
ID0886,Own - None,186.44
ID0887,Own - None,176.88
ID0888,Own - None,127.6
ID0889,Rent - Not Specified,61.84
ID0890,Own - None,52.48
ID0891,Own - None,2.28
ID0892,Own - None,142.08
ID0893,Own - None,163.52
ID0894,Own - None,84.44
ID0895,Own - None,147.2
ID0896,Own - None,40.08
ID0897,Own - None,759.04
ID0898,Own - None,53.76
ID0899,Own - None,333.76
ID0900,Own - None,80.8
ID0901,Own - None,270.16
ID0902,Own - None,159.0
ID0903,Own - None,0.96
ID0904,Own - None,86.0
ID0905,Own - None,95.6
ID0906,Own - None,134.44
ID0907,Rent - Not Specified,285.84
ID0908,Own - None,163.88
ID0909,Rent - Not Specified,84.92
ID0910,Own - None,39.16
ID0911,Own - None,95.12
ID0912,Own - None,201.56
ID0913,Own - None,105.12
ID0914,Own - None,43.76
ID0915,Own - None,51.24
ID0916,Own - None,214.92
ID0917,Rent - Not Specified,234.36
ID0918,Own - None,32.76
ID0919,Own - None,124.72
ID0920,Own - None,50.5
ID0921,Own - None,56.0
ID0922,Rent - Not Specified,118.72
ID0923,Own - None,153.68
ID0924,Own - None,78.76
ID0925,Own - None,105.84
ID0926,Own - None,1.4782608695652173
ID0927,Rent - Not Specified,111.28
ID0928,Own - None,129.96
ID0929,Own - None,159.4
ID0930,Rent - Not Specified,107.76
ID0931,Own - None,128.4
ID0932,Own - None,79.28
ID0933,Own - None,81.24
ID0934,Own - None,154.04
ID0935,Own - None,121.04
ID0936,Own - None,121.68
ID0937,Own - None,141.48
ID0938,Own - None,147.88
ID0939,Own - None,313.04
ID0940,Own - None,166.64
ID0941,Own - None,74.16
