household_ID,avg_consumption,total_hours_appliances,num_appliances,num_lights,socio_economic_class
ID0106,141.56,208.0,39.0,22.0,SEC A
ID0107,206.36,216.25,20.0,14.0,SEC C
ID0108,178.76,270.90999999999997,16.0,7.0,SEC C
ID0109,0.0,360.83,24.0,27.0,SEC A
ID0110,123.8,200.41,20.0,9.0,SEC A
ID0111,169.76,187.0,19.0,11.0,SEC C
ID0112,105.72,189.5,15.0,17.0,SEC B
ID0113,188.68,185.3,21.0,24.0,SEC B
ID0114,170.2,375.9,26.0,10.0,SEC A
ID0115,240.6,212.5,27.0,16.0,SEC B
ID0116,89.76,219.0,17.0,19.0,SEC A
ID0117,127.12,182.25,7.0,10.0,SEC B
ID0118,134.36,213.0,14.0,8.0,SEC B
ID0119,46.6,1.66,4.0,5.0,SEC B
ID0120,32.4,1.75,4.0,8.0,SEC D
ID0121,148.2,78.0,4.0,10.0,SEC E
ID0122,0.3333333333333333,0.0,2.0,28.0,SEC D
ID0123,159.2,187.5,15.0,21.0,SEC A
ID0124,84.0,221.025,12.0,5.0,SEC D
ID0125,169.84,181.7,13.0,60.0,SEC E
ID0126,24.64,45.08,10.0,11.0,SEC B
ID0127,366.12,188.98,20.0,16.0,SEC A
ID0128,174.92,308.55,28.0,36.0,SEC C
ID0129,120.56,212.41,22.0,16.0,SEC B
ID0130,153.68,141.5,10.0,6.0,SEC C
ID0131,51.24,8.55,7.0,7.0,SEC C
ID0132,28.227272727272727,9.2,5.0,60.0,SEC D
ID0133,107.28,92.75,6.0,54.0,SEC D
ID0134,201.84,424.5,17.0,40.0,SEC C
ID0135,205.72,178.55,15.0,17.0,SEC B
ID0136,50.24,169.5,9.0,11.0,SEC B
ID0137,315.76,5.1,4.0,7.0,SEC E
ID0138,42.68,26.0,3.0,4.0,SEC D
ID0139,154.84,176.25,11.0,8.0,SEC C
ID0140,10.4,211.0,5.0,6.0,SEC B
ID0141,93.88,57.0,4.0,5.0,SEC E
ID0142,125.08,33.5,18.0,15.0,SEC B
ID0143,66.48,135.16,8.0,2.0,SEC C
ID0144,48.64,14.0,3.0,5.0,SEC C
ID0145,93.92,153.0,3.0,5.0,SEC D
ID0146,159.84,96.75,20.0,13.0,SEC C
ID0147,10.96,245.41,12.0,8.0,SEC C
ID0148,110.24,97.5,7.0,7.0,SEC D
ID0149,266.28,243.49,37.0,17.0,SEC A
ID0150,90.24,72.0,4.0,4.0,SEC D
ID0151,82.8,191.0,12.0,7.0,SEC D
ID0152,223.96,283.25,18.0,38.0,SEC B
ID0153,114.88,119.0,14.0,17.0,SEC C
ID0154,237.54545454545453,204.38,17.0,19.0,SEC A
ID0155,170.16,272.5,10.0,12.0,SEC C
ID0156,111.24,202.16,11.0,7.0,SEC B
ID0157,69.72,36.0,10.0,10.0,SEC B
ID0158,58.4,237.7,11.0,9.0,SEC B
ID0159,139.24,183.75,32.0,24.0,SEC A
ID0160,43.92,195.0,10.0,10.0,SEC B
ID0161,23.8,94.0,12.0,13.0,SEC B
ID0162,60.6,201.75,11.0,6.0,SEC E
ID0163,122.96,208.25,10.0,15.0,SEC C
ID0164,42.4,50.0,7.0,7.0,SEC D
ID0165,126.04,231.0,6.0,5.0,SEC E
ID0166,152.84,210.0,13.0,9.0,SEC C
ID0167,0.0,256.5,28.0,23.0,SEC B
ID0168,89.16,66.08,12.0,11.0,SEC E
ID0169,102.76,255.75,11.0,10.0,SEC D
ID0170,27.6,6.6,7.0,6.0,SEC B
ID0171,157.56,200.25,14.0,11.0,SEC C
ID0172,148.6,176.34,15.0,23.0,SEC C
ID0173,56.68,171.75,8.0,10.0,SEC C
ID0174,155.76,78.0,16.0,7.0,SEC C
ID0175,63.96,186.0,9.0,17.0,SEC C
ID0176,59.08,183.75,9.0,7.0,SEC B
ID0177,358.12,471.5,45.0,33.0,SEC A
ID0178,93.32,200.5,14.0,12.0,SEC D
ID0179,142.6,177.91,10.0,7.0,SEC D
ID0180,128.52,200.308,9.0,6.0,SEC E
ID0181,146.32,256.0,16.0,8.0,SEC E
ID0182,447.92,241.85,21.0,9.0,SEC C
ID0183,28.12,235.5,19.0,16.0,SEC A
ID0184,51.56,206.0,12.0,15.0,SEC D
ID0185,326.44,195.93,34.0,40.0,SEC A
ID0186,118.28,32.0,7.0,8.0,SEC D
ID0187,148.0,112.0,3.0,35.0,SEC D
ID0188,104.12,175.85,16.0,12.0,SEC C
ID0189,325.6,251.0,35.0,38.0,SEC B
ID0190,14.28,23.0,1.0,9.0,SEC E
ID0191,85.04,172.0,10.0,24.0,SEC C
ID0192,122.64,169.75,7.0,6.0,SEC D
ID0193,101.72,216.5,18.0,15.0,SEC C
ID0194,83.85714285714286,213.57999999999998,7.0,8.0,SEC C
ID0195,105.84,189.5,12.0,13.0,SEC B
ID0196,106.6,246.5,16.0,23.0,SEC C
ID0197,138.48,177.83,10.0,7.0,SEC C
ID0198,437.56,390.77,29.0,64.0,SEC C
ID0199,40.76,174.5,11.0,19.0,SEC B
ID0200,82.84,179.58,9.0,5.0,SEC C
ID0201,258.2,429.0,35.0,22.0,SEC A
ID0202,158.8,7.0,2.0,4.0,SEC E
ID0203,106.88,107.5,18.0,11.0,SEC B
ID0204,50.52,227.75,13.0,10.0,SEC C
ID0205,92.625,205.32999999999998,16.0,8.0,SEC B
ID0206,133.24,207.66,12.0,7.0,SEC C
ID0207,136.56,198.0,23.0,14.0,SEC B
ID0208,52.96,272.0,11.0,9.0,SEC D
ID0209,88.72,177.0,8.0,7.0,SEC B
ID0210,263.08,419.83000000000004,33.0,20.0,SEC B
ID0211,99.76,210.0,14.0,17.0,SEC B
ID0212,73.96,169.5,6.0,6.0,SEC D
ID0213,64.24,4.0,8.0,6.0,SEC D
ID0214,70.12,198.5,13.0,9.0,SEC D
ID0215,97.16,175.5,17.0,15.0,SEC C
ID0216,84.04,172.75,6.0,8.0,SEC B
ID0217,130.48,365.5,15.0,14.0,SEC B
ID0218,36.16,15.75,7.0,7.0,SEC C
ID0219,126.76,266.0,14.0,14.0,SEC C
ID0220,96.52,194.07999999999998,23.0,15.0,SEC C
ID0221,106.2,284.25,23.0,18.0,SEC A
ID0222,137.68,211.0,23.0,10.0,SEC A
ID0223,22.64,178.9,12.0,24.0,SEC C
ID0224,25.48,28.5,4.0,6.0,SEC D
ID0225,145.72,213.56,15.0,9.0,SEC B
ID0226,116.6,252.05,23.0,21.0,SEC A
ID0227,76.56,100.25,4.0,6.0,SEC B
ID0228,91.44444444444444,190.0,10.0,15.0,SEC D
ID0229,320.76,4.5,11.0,10.0,SEC B
ID0230,144.8,207.13,15.0,11.0,SEC C
ID0231,132.28,202.82999999999998,14.0,11.0,SEC C
ID0232,104.6,259.5,17.0,8.0,SEC C
ID0233,176.44,48.0,13.0,15.0,SEC B
ID0234,160.72,336.94,25.0,34.0,SEC A
ID0235,57.44,215.8,20.0,25.0,SEC A
ID0236,86.6,87.0,5.0,8.0,SEC C
ID0237,165.44,258.5,10.0,8.0,SEC A
ID0238,67.28,220.0,18.0,4.0,SEC D
ID0239,43.92,175.16,13.0,3.0,SEC B
ID0240,77.92,7.25,4.0,4.0,SEC C
ID0241,60.48,200.0,7.0,5.0,SEC C
ID0242,54.32,9.0,8.0,4.0,SEC C
ID0243,72.6,3.0,4.0,4.0,SEC C
ID0244,20.72,22.0,8.0,6.0,SEC C
ID0245,98.44,184.25,7.0,7.0,SEC C
ID0246,456.8,295.90999999999997,32.0,33.0,SEC A
ID0247,331.96,341.5,25.0,20.0,SEC A
ID0248,82.4,171.157,12.0,11.0,SEC A
ID0249,234.4,171.5,13.0,15.0,SEC B
ID0250,192.04,249.5,29.0,23.0,SEC A
ID0251,122.72,254.47,16.0,18.0,SEC B
ID0252,53.68,7.0,3.0,7.0,SEC A
ID0253,50.68,39.0,6.0,4.0,SEC C
ID0254,114.08,200.46,21.0,32.0,SEC A
ID0255,372.92,387.15999999999997,66.0,41.0,SEC B
ID0256,168.56,252.91,16.0,18.0,SEC C
ID0257,238.0,247.0,24.0,14.0,SEC A
ID0258,162.0,356.86,24.0,18.0,SEC A
ID0259,73.76,215.5,8.0,77.0,SEC D
ID0260,237.56,180.0,8.0,22.0,SEC B
ID0261,116.70833333333333,224.5,15.0,23.0,SEC C
ID0262,42.64,10.66,4.0,28.0,SEC D
ID0263,152.48,197.5,13.0,13.0,SEC C
ID0264,359.84,466.0,20.0,17.0,SEC A
ID0265,99.76,236.75,12.0,7.0,SEC C
ID0266,83.28,185.0,11.0,8.0,SEC C
ID0267,97.12,4.0,4.0,6.0,SEC B
ID0268,58.24,179.0,10.0,8.0,SEC C
ID0269,215.44,253.37,16.0,12.0,SEC D
ID0270,146.24,463.33,17.0,8.0,SEC C
ID0271,73.48,225.7,15.0,4.0,SEC B
ID0272,46.04,269.5,15.0,7.0,SEC A
ID0273,248.96,173.3,11.0,16.0,SEC B
ID0274,190.76,296.87,16.0,22.0,SEC A
ID0275,182.4,194.55,15.0,8.0,SEC D
ID0276,295.2,268.0,37.0,33.0,SEC A
ID0277,90.96,173.15,16.0,14.0,SEC C
ID0278,201.44,184.25,23.0,209.0,SEC B
ID0279,54.84,35.0,5.0,6.0,SEC B
ID0280,153.0,205.5,12.0,8.0,SEC A
ID0281,49.24,189.0,12.0,12.0,SEC C
ID0282,134.6,247.05,14.0,182.0,SEC B
ID0283,83.68,174.5,12.0,14.0,SEC C
ID0284,42.48,170.75,7.0,10.0,SEC D
ID0285,194.0,157.65,10.0,12.0,SEC D
ID0286,102.12,20.25,7.0,7.0,SEC D
ID0287,166.44,124.0,10.0,11.0,SEC D
ID0288,35.04,248.0,9.0,8.0,SEC B
ID0289,101.8,211.57999999999998,24.0,27.0,SEC B
ID0290,69.56521739130434,171.83,9.0,7.0,SEC A
ID0291,58.64,170.0,18.0,12.0,SEC A
ID0292,54.36,0.0,4.0,4.0,SEC C
ID0293,52.32,10.5,7.0,17.0,SEC C
ID0294,188.04,187.24,14.0,18.0,SEC C
ID0295,100.8,201.05,13.0,8.0,SEC A
ID0296,338.6,436.0,37.0,39.0,SEC A
ID0297,108.0,224.06,17.0,7.0,SEC C
ID0298,27.45,71.8,7.0,5.0,SEC C
ID0299,70.16,181.25,7.0,7.0,SEC D
ID0300,55.92,1.5,10.0,8.0,SEC D
ID0301,78.64,253.0,14.0,12.0,SEC B
ID0302,87.32,204.68,12.0,6.0,SEC C
ID0303,41.0,30.0,5.0,6.0,SEC D
ID0304,121.56,195.0,12.0,5.0,SEC D
ID0305,113.72,205.0,20.0,16.0,SEC C
ID0306,112.6,183.45,11.0,10.0,SEC C
ID0307,175.68,173.5,8.0,4.0,SEC A
ID0308,101.92,151.0,10.0,12.0,SEC C
ID0309,64.64,203.5,12.0,8.0,SEC B
ID0310,72.48,14.0,4.0,3.0,SEC D
ID0311,103.52,206.5,12.0,16.0,SEC B
ID0312,65.12,7.0,1.0,7.0,SEC D
ID0313,105.72,185.23,18.0,14.0,SEC A
ID0314,172.84,214.35,13.0,110.0,SEC D
ID0315,81.8,189.75,8.0,10.0,SEC A
ID0316,109.64,199.5,10.0,6.0,SEC E
ID0317,82.76,169.0,4.0,7.0,SEC C
ID0318,155.2,201.15,17.0,8.0,SEC A
ID0319,113.76,99.0,7.0,11.0,SEC D
ID0320,48.84,168.0,2.0,4.0,SEC B
ID0321,287.375,192.8,10.0,8.0,SEC B
ID0322,36.04,225.0,7.0,28.0,SEC E
ID0323,109.28,193.45,5.0,13.0,SEC B
ID0324,34.68,8.0,9.0,6.0,SEC C
ID0325,125.6,202.25,15.0,9.0,SEC C
ID0326,104.96,234.423,12.0,9.0,SEC D
ID0327,161.44,191.05,17.0,14.0,SEC C
ID0328,13.56,0.0,1.0,5.0,SEC E
ID0329,59.2,180.0,11.0,30.0,SEC C
ID0330,79.52,6.33,10.0,6.0,SEC D
ID0331,240.08,191.025,18.0,7.0,SEC B
ID0332,134.6,127.66,12.0,7.0,SEC C
ID0333,46.92,89.0,6.0,10.0,SEC C
ID0334,140.28571428571428,383.08,15.0,15.0,SEC D
ID0335,119.2,177.66,12.0,14.0,SEC D
ID0336,89.56,60.5,9.0,8.0,SEC D
ID0337,135.64,217.75,12.0,10.0,SEC D
ID0338,107.92,221.87,13.0,14.0,SEC B
ID0339,86.12,79.08,13.0,10.0,SEC D
ID0340,111.4,195.65,18.0,20.0,SEC B
ID0341,85.76,214.0,11.0,23.0,SEC A
ID0342,40.2,188.28,14.0,16.0,SEC A
ID0343,148.0,174.1,10.0,4.0,SEC D
ID0344,32.08,14.0,3.0,6.0,SEC C
ID0345,251.16,189.6,27.0,16.0,SEC A
ID0346,89.68,269.65999999999997,18.0,21.0,SEC B
ID0347,20.36,1.5,1.0,5.0,SEC D
ID0348,250.56,180.43,10.0,105.0,SEC D
ID0349,100.56,221.0,9.0,9.0,SEC D
ID0350,55.68,23.0,9.0,4.0,SEC A
ID0351,7.88,24.05,12.0,13.0,SEC A
ID0352,100.8,240.23,11.0,12.0,SEC D
ID0353,85.88,250.16,18.0,19.0,SEC C
ID0354,31.84,3.275,6.0,3.0,SEC B
ID0355,97.64,119.75,8.0,5.0,SEC D
ID0356,217.64,347.35,32.0,48.0,SEC B
ID0357,175.48,139.25,10.0,26.0,SEC D
ID0358,144.24,190.0,17.0,22.0,SEC C
ID0359,310.16,251.5,21.0,34.0,SEC B
ID0360,28.2,69.5,11.0,13.0,SEC C
ID0361,111.88,17.5,10.0,9.0,SEC B
ID0362,47.28,2.0,7.0,5.0,SEC C
ID0363,35.84,241.5,8.0,6.0,SEC C
ID0364,96.32,185.5,17.0,14.0,SEC C
ID0365,47.69565217391305,55.5,12.0,16.0,SEC C
ID0366,142.28,315.40999999999997,23.0,18.0,SEC C
ID0367,91.84,160.0,7.0,9.0,SEC C
ID0368,70.12,249.55,10.0,48.0,SEC E
ID0369,49.16,178.0,7.0,9.0,SEC B
ID0370,310.48,532.25,33.0,27.0,SEC A
ID0371,542.48,352.21,23.0,20.0,SEC A
ID0372,123.56,278.12,16.0,12.0,SEC A
ID0373,89.44,183.75,19.0,26.0,SEC B
ID0374,96.04,121.75,10.0,7.0,SEC B
ID0375,132.08,198.75,18.0,32.0,SEC A
ID0376,55.72,185.34,12.0,13.0,SEC B
ID0377,197.32,70.25,11.0,9.0,SEC C
ID0378,103.52,398.39,15.0,25.0,SEC B
ID0379,117.48,191.75,13.0,8.0,SEC D
ID0380,50.64,196.0,25.0,14.0,SEC A
ID0381,191.48,290.0,21.0,20.0,SEC B
ID0382,57.64,230.0,12.0,7.0,SEC C
ID0383,148.28,170.8,6.0,8.0,SEC B
ID0384,76.08,238.0,3.0,4.0,SEC D
ID0385,81.0,189.41,16.0,19.0,SEC C
ID0386,102.6,31.6,9.0,35.0,SEC D
ID0387,70.28,196.5,9.0,16.0,SEC B
ID0388,166.12,198.73,27.0,22.0,SEC A
ID0389,131.36,168.5,8.0,48.0,SEC D
ID0390,52.64,16.0,6.0,6.0,SEC D
ID0391,155.36,178.14,12.0,9.0,SEC B
ID0392,273.24,396.90999999999997,30.0,36.0,SEC A
ID0393,0.0,247.0,23.0,27.0,SEC B
ID0394,58.12,204.75,14.0,17.0,SEC C
ID0395,486.0,333.0,26.0,14.0,SEC A
ID0396,94.84,195.0,11.0,24.0,SEC C
ID0397,186.72,181.5,9.0,8.0,SEC D
ID0398,111.6,197.25,10.0,4.0,SEC B
ID0399,142.56,259.85,12.0,162.0,SEC C
ID0400,18.12,2.08,12.0,5.0,SEC C
ID0401,89.16,455.58,20.0,12.0,SEC C
ID0402,87.68,32.1,8.0,5.0,SEC C
ID0403,122.52,186.525,10.0,8.0,SEC E
ID0404,183.88,270.75,13.0,21.0,SEC B
ID0405,70.44,215.0,10.0,24.0,SEC D
ID0406,354.72,474.9,24.0,40.0,SEC B
ID0407,101.84,25.5,7.0,8.0,SEC C
ID0408,63.48,168.0,5.0,4.0,SEC D
ID0409,91.44,216.25,8.0,7.0,SEC C
ID0410,8.36,4.0,3.0,6.0,SEC C
ID0411,80.44,186.0,10.0,25.0,SEC C
ID0412,2.68,0.0,1.0,3.0,SEC D
ID0413,40.48,198.0,8.0,8.0,SEC C
ID0414,118.6,204.82999999999998,13.0,17.0,SEC A
ID0415,131.64,223.25,20.0,5.0,SEC A
ID0416,714.5217391304348,474.5,33.0,18.0,SEC A
ID0417,604.4,300.85,33.0,59.0,SEC A
ID0418,162.76,208.65800000000002,19.0,12.0,SEC A
ID0419,86.0,213.5,16.0,12.0,SEC B
ID0420,89.24,172.5,5.0,4.0,SEC B
ID0421,119.32,230.75,13.0,17.0,SEC C
ID0422,83.92,178.75,13.0,5.0,SEC C
ID0423,20.04,111.0,16.0,8.0,SEC C
ID0424,104.24,141.8,15.0,12.0,SEC C
ID0425,58.28,174.0,7.0,3.0,SEC C
ID0426,49.0,169.25,8.0,3.0,SEC E
ID0427,130.88,153.0,21.0,14.0,SEC C
ID0428,90.48,207.06,10.0,8.0,SEC C
ID0429,136.52,220.5,14.0,11.0,SEC B
ID0430,32.6,227.5,12.0,14.0,SEC D
ID0431,68.8,15.0,14.0,12.0,SEC C
ID0432,75.44,168.25,4.0,7.0,SEC D
ID0433,85.24,141.0,6.0,6.0,SEC D
ID0434,21.04,22.0,4.0,3.0,SEC E
ID0435,74.04166666666667,174.41,13.0,8.0,SEC C
ID0436,45.64,3.0,4.0,6.0,SEC E
ID0437,50.76,35.0,7.0,11.0,SEC C
ID0438,67.4,7.0,3.0,13.0,SEC E
ID0439,85.72,242.5,7.0,8.0,SEC C
ID0440,145.24,213.62,19.0,11.0,SEC C
ID0441,59.64,169.0,12.0,11.0,SEC B
ID0442,42.92,1.0,7.0,6.0,SEC D
ID0443,97.4,210.5,15.0,18.0,SEC B
ID0444,150.4,229.0,21.0,43.0,SEC A
ID0445,66.36,205.0,18.0,34.0,SEC C
ID0446,250.4,252.75,14.0,11.0,SEC B
ID0447,58.76,204.0,8.0,8.0,SEC B
ID0448,105.48,188.0,16.0,7.0,SEC B
ID0449,44.28,169.75,11.0,5.0,SEC B
ID0450,87.96,226.0,21.0,14.0,SEC A
ID0451,39.84,256.25,8.0,11.0,SEC B
ID0452,108.68,195.0,6.0,10.0,SEC B
ID0453,173.4,207.25,22.0,38.0,SEC A
ID0454,119.16,187.0,11.0,7.0,SEC A
ID0455,83.0,171.8,10.0,13.0,SEC C
ID0456,69.92,199.35,12.0,10.0,SEC E
ID0457,179.25,185.75,29.0,25.0,SEC A
ID0458,117.56,187.1,5.0,81.0,SEC D
ID0459,90.36,75.5,11.0,7.0,SEC D
ID0460,0.84,0.0,1.0,3.0,SEC D
ID0461,97.0,371.0,15.0,10.0,SEC B
ID0462,34.88,0.5,3.0,6.0,SEC C
ID0463,42.32,39.5,6.0,9.0,SEC E
ID0464,149.48,233.25,19.0,18.0,SEC B
ID0465,73.2,258.40999999999997,9.0,6.0,SEC C
ID0466,152.08,206.0,11.0,10.0,SEC B
ID0467,547.04,191.0,6.0,5.0,SEC B
ID0468,166.4,221.5,25.0,14.0,SEC A
ID0469,130.24,66.83,13.0,228.0,SEC C
ID0470,276.68,219.0,13.0,14.0,SEC A
ID0471,199.72,190.0,26.0,19.0,SEC A
ID0472,86.44,373.5,15.0,15.0,SEC A
ID0473,65.32,26.0,10.0,8.0,SEC C
ID0474,134.44,213.32999999999998,16.0,8.0,SEC C
ID0475,183.4,187.33,20.0,7.0,SEC A
ID0476,60.12,191.91,9.0,15.0,SEC B
ID0477,35.56,173.1,10.0,10.0,SEC B
ID0478,112.92,170.75,7.0,4.0,SEC D
ID0479,52.04,119.5,12.0,6.0,SEC C
ID0480,83.56,208.25,8.0,24.0,SEC D
ID0481,39.24,4.0,5.0,5.0,SEC D
ID0482,28.76,0.0,1.0,3.0,SEC D
ID0483,82.4,204.5,10.0,9.0,SEC D
ID0484,25.64,16.0,4.0,3.0,SEC D
ID0485,23.68,270.0,15.0,12.0,SEC A
ID0486,116.2,217.25,20.0,18.0,SEC B
ID0487,227.4,300.63,25.0,25.0,SEC A
ID0488,140.92,171.56,7.0,9.0,SEC D
ID0489,54.2,251.04,24.0,42.0,SEC A
ID0490,111.32,217.81,14.0,8.0,SEC D
ID0491,93.72,198.57999999999998,12.0,7.0,SEC C
ID0492,75.88,24.75,15.0,17.0,SEC B
ID0493,58.88,174.0,3.0,4.0,SEC C
ID0494,85.12,210.1,6.0,13.0,SEC E
ID0495,101.6,259.56,15.0,39.0,SEC B
ID0496,26.96,186.0,5.0,12.0,SEC D
ID0497,80.44,88.5,13.0,6.0,SEC C
ID0498,111.72,2.75,4.0,35.0,SEC D
ID0499,246.32,220.5,18.0,8.0,SEC D
ID0500,81.72,192.31,9.0,30.0,SEC D
ID0501,213.2,195.773,21.0,35.0,SEC D
ID0502,96.84,16.0,14.0,9.0,SEC B
ID0503,75.56,199.6,18.0,25.0,SEC A
ID0504,81.2,205.5,12.0,9.0,SEC D
ID0505,116.6,24.08,9.0,16.0,SEC B
ID0506,79.72,216.75,12.0,13.0,SEC C
ID0507,61.68,205.0,7.0,10.0,SEC B
ID0508,217.2,129.92,16.0,11.0,SEC C
ID0509,199.12,176.75,9.0,12.0,SEC C
ID0510,91.96,185.16,17.0,13.0,SEC D
ID0511,157.36,166.66,19.0,23.0,SEC A
ID0512,154.88,189.0,20.0,10.0,SEC A
ID0513,34.6,2.0,10.0,12.0,SEC E
ID0514,109.84,278.32,20.0,5.0,SEC B
ID0515,84.84,195.0,9.0,7.0,SEC C
ID0516,144.56,226.94,15.0,8.0,SEC D
ID0517,295.68,313.1,47.0,38.0,SEC A
ID0518,64.96,323.5,20.0,19.0,SEC B
ID0519,11.52,187.5,12.0,14.0,SEC B
ID0520,86.84,107.75,12.0,8.0,SEC C
ID0521,34.72,3.25,3.0,2.0,SEC C
ID0522,224.64,199.75,20.0,34.0,SEC C
ID0523,70.56,4.0,10.0,7.0,SEC B
ID0524,225.28,196.25,15.0,9.0,SEC B
ID0525,118.4,180.25,15.0,10.0,SEC D
ID0526,86.52,187.16,11.0,8.0,SEC C
ID0527,86.28,241.7,10.0,6.0,SEC C
ID0528,116.28,194.12,16.0,29.0,SEC B
ID0529,56.96,118.0,4.0,4.0,SEC C
ID0530,146.8,232.1,9.0,10.0,SEC C
